Entity,Qualifiers,Preferred Ontologies,Value,Comments/Metadata,DOME
Model,bqbiol:hasProperty,Experimental Factor Ontology EFO,https://identifiers.org/EFO:0011061,Toxicity,
Model,bqbiol:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C61408,synthetic accessibility ,
Model,bqbiol:hasProperty,BioAssay Ontology BAO,https://identifiers.org/BAO:0000009,ADMET,
Model,bqbiol:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C45329,Active,
Model,bqbiol:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C154407,Inactive,
Model,bqbiol:hasProperty,Bioinformatics Concept EDAM,https://identifiers.org/bptl/edam:topic_0154,Small molecules,
Model,bqbiol:hasProperty,BioAssay Ontology BAO,https://identifiers.org/BAO:0002305,QSAR,
Model,bqbiol:hasProperty,Bioinformatics Concept EDAM,https://identifiers.org/bptl/edam:topic_3336,Drug discovery,
Model,bqmodel:hasProperty,Bioinformatics Concept EDAM,https://identifiers.org/bptl/edam:topic_3474,Machine learning,
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C16309,Artificial Intelligence,
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C176258,Deep Learning,
Model,bqmodel:hasProperty,Ontology for MIRNA Target OMIT,https://identifiers.org/OMIT:0004946,Decision Tree,Optimization-Algorithm
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C53237,Regression Method,Optimization-Algorithm
Model,bqmodel:hasProperty,NCI Thesaurus OBO Edition NCIT,https://identifiers.org/NCIT:C17429,Neural network,Optimization-Algorithm
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000415,accuracy,Evaluation-Performance Measure
Model,bqmodel:hasProperty,OBCS: Ontology of Biological and Clinical Statistics OBCS,http://identifiers.org/OBCS:0000058,sensitivity,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,http://identifiers.org/STATO:0000053,false positive rate,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000524,Matthews correlation coefficient,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000274,AUC–ROC,Evaluation-Performance Measure
Model,bqmodel:hasProperty,STATO: the statistical methods ontology,https://identifiers.org/STATO:0000037,mean squared error (MSE),Evaluation-Performance Measure
